full_name,age,birthday,league,season,position,club_name,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Danny Ward,29,660729600,Premier League,2018/2019,Forward,Cardiff City,440,246,194,England,14,3,1,1,1,0,0,0,0,0,0,2,0,2,11,8,3,0,0,0.2,0,0.2,0.37,0,440,2.25,40,31,0,0,0,93,392,-1,10
Josh Murphy,25,793612800,Premier League,2018/2019,Forward,Cardiff City,1825,1123,702,England,29,14,8,3,2,1,2,1,1,0,0,7,4,3,27,20,7,2,0,0.25,0.1,0.15,0.16,0.13,608,1.33,68,63,913,913,0.1,124,151,-1,6
Gary Madine,29,651481200,Premier League,2018/2019,Forward,Cardiff City,32,17,15,England,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5.63,16,6,0,0,0,-1,-1,-1,20
Alex Smithies,30,636624000,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Víctor Camarasa,25,770108400,Premier League,2018/2019,Midfielder,Cardiff City,2579,1267,1312,Spain,32,16,15,5,4,1,4,1,3,1,0,8,4,4,48,25,23,6,0,0.31,0.14,0.17,0.28,0.07,516,1.68,54,81,430,645,0.21,113,102,-1,1
Greg Cunningham,29,665308800,Premier League,2018/2019,Defender,Cardiff City,630,450,180,Republic of Ireland,7,5,2,0,0,0,0,0,0,0,0,1,0,1,16,15,1,3,0,0,0,0,0,0,0,2.29,39,90,210,0,0.43,313,391,170,19
Jazz Richards,29,671439600,Premier League,2018/2019,Defender,Cardiff City,128,52,76,Wales,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,2.81,32,32,0,0,0,-1,-1,-1,18
Fabricio Martín Agosto Ramírez,32,567936000,Premier League,2018/2019,Goalkeeper,Fulham,180,90,90,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,13
Maxime Le Marchand,30,624092400,Premier League,2018/2019,Defender,Fulham,2251,1171,1080,France,26,13,12,0,0,0,1,1,0,0,0,4,3,1,50,23,27,5,0,0.04,0.04,0,0,0,0,2,45,87,450,2251,0.2,314,222,162,23
Cyrus Christie,27,717836400,Premier League,2018/2019,Defender,Fulham,1943,1053,890,Republic of Ireland,28,10,9,0,0,0,1,1,0,0,0,5,3,2,40,20,20,7,0,0.05,0.05,0,0,0,0,1.85,49,69,278,1943,0.32,315,211,155,27
Joe Bryan,26,748249200,Premier League,2018/2019,Defender,Fulham,2350,1214,1136,England,28,14,13,0,0,0,1,1,0,0,0,5,3,2,51,21,30,5,0,0.04,0.04,0,0,0,0,1.95,46,84,470,2350,0.19,316,228,158,26
Calum Chambers,25,790588800,Premier League,2018/2019,Defender,Fulham,2587,1458,1129,England,31,16,13,2,2,0,0,0,0,0,0,5,3,2,49,24,25,9,0,0.07,0,0.07,0.12,0,1294,1.7,53,83,287,0,0.31,193,390,144,5
Kevin McDonald,31,594633600,Premier League,2018/2019,Midfielder,Fulham,842,399,443,Scotland,15,5,5,0,0,0,0,0,0,0,0,0,0,0,25,12,13,6,1,0,0,0,0,0,0,2.67,34,56,140,0,0.64,317,388,-1,25
André Schürrle,29,657878400,Premier League,2018/2019,Midfielder,Fulham,1650,829,821,Germany,24,11,10,6,3,3,0,0,0,0,0,1,0,1,42,20,22,2,0,0.33,0,0.33,0.33,0.33,275,2.29,39,69,825,0,0.11,52,387,-1,2
Tom Cairney,29,664358400,Premier League,2018/2019,Midfielder,Fulham,2198,1107,1091,Scotland,31,11,13,1,1,0,1,1,0,0,0,4,3,1,49,21,28,0,0,0.08,0.04,0.04,0.08,0,2198,2.01,45,71,0,2198,0,244,215,-1,10
Jean Michaël Seri,28,679906800,Premier League,2018/2019,Midfielder,Fulham,2252,1112,1140,Côte d'Ivoire,32,14,13,1,1,0,2,0,2,0,0,4,2,2,53,23,30,6,0,0.12,0.08,0.04,0.08,0,2252,2.12,42,70,375,1126,0.24,243,172,-1,7
Ryan Sessegnon,19,958633200,Premier League,2018/2019,Defender,Fulham,2298,1095,1203,England,35,11,15,2,1,1,6,3,3,0,0,4,3,1,58,22,36,0,0,0.31,0.23,0.08,0.08,0.07,1149,2.27,40,66,0,383,0,187,54,168,6
Aleksandar Mitrović,25,779698800,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,65,171,-1,1
Aboubakar Kamara,25,794563200,Premier League,2018/2019,Forward,Fulham,687,468,219,France,13,4,1,3,1,2,0,0,0,1,1,2,1,1,16,9,7,2,0,0.39,0,0.39,0.19,0.82,229,2.1,43,53,344,0,0.26,37,383,-1,4
Luciano Vietto,26,755078400,Premier League,2018/2019,Forward,Fulham,983,549,434,Argentina,20,6,4,1,1,0,4,4,0,0,0,1,1,0,21,11,10,1,0,0.46,0.37,0.09,0.16,0,983,1.92,47,49,983,246,0.09,172,11,-1,8
Stefan Marius Johansen,29,663321600,Premier League,2018/2019,Midfielder,Fulham,412,130,282,Norway,12,1,3,0,0,0,0,0,0,0,0,0,0,0,11,1,10,4,0,0,0,0,0,0,0,2.4,37,34,103,0,0.87,318,382,-1,24
Neeskens Kebano,28,700214400,Premier League,2018/2019,Midfielder,Fulham,103,74,29,Congo DR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.87,103,15,0,0,0,-1,-1,-1,18
Timothy Fosu-Mensah,22,883728000,Premier League,2018/2019,Defender,Fulham,795,499,296,Netherlands,12,6,4,0,0,0,0,0,0,0,0,1,1,0,18,9,9,3,0,0,0,0,0,0,0,2.04,44,66,265,0,0.34,319,380,164,22
Sergio Rico,26,746866800,Premier League,2018/2019,Goalkeeper,Fulham,2610,1350,1260,Spain,29,15,14,0,0,0,0,0,0,0,0,5,3,2,53,24,29,1,0,0,0,0,0,0,0,1.83,49,90,2610,0,0.03,320,378,154,21
Ibrahima Cissé,26,762422400,Premier League,2018/2019,Midfielder,Fulham,87,9,78,Belgium,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3.1,29,29,0,0,0,-1,-1,-1,20
Wayne Hennessey,33,538473600,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,675,900,Wales,18,7,10,0,0,0,0,0,0,0,0,5,2,3,23,8,15,0,0,0,0,0,0,0,0,1.31,68,88,0,0,0,321,377,87,13
Mamadou Sakho,30,634896000,Premier League,2018/2019,Defender,Crystal Palace,2417,1170,1247,France,27,13,14,0,0,0,0,0,0,0,0,9,5,4,32,10,22,2,0,0,0,0,0,0,0,1.19,76,90,1209,0,0.07,322,396,63,21
James Tomkins,31,607161600,Premier League,2018/2019,Defender,Crystal Palace,2563,1140,1423,England,29,13,16,1,0,1,1,0,1,0,0,10,5,5,34,12,22,6,0,0.07,0.04,0.04,0,0.06,2563,1.19,75,88,427,2563,0.21,237,235,64,9
Patrick van Aanholt,29,651913200,Premier League,2018/2019,Defender,Crystal Palace,3198,1703,1495,Netherlands,36,19,17,3,2,1,2,0,2,0,0,12,7,5,41,19,22,3,0,0.14,0.06,0.08,0.11,0.06,1066,1.15,78,89,1066,1599,0.08,185,197,55,6
Jeffrey Schlupp,27,725097600,Premier League,2018/2019,Defender,Crystal Palace,1665,849,816,Ghana,30,10,8,4,1,3,1,1,0,0,0,8,4,4,24,11,13,1,0,0.27,0.05,0.22,0.11,0.33,416,1.3,69,56,1665,1665,0.05,86,199,85,5
Aaron Wan-Bissaka,22,880531200,Premier League,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,England,35,18,17,0,0,0,3,1,2,0,0,12,7,5,41,17,24,5,1,0.09,0.09,0,0,0,0,1.18,76,90,523,1045,0.17,312,155,-1,22
James McArthur,32,560588400,Premier League,2018/2019,Midfielder,Crystal Palace,3071,1506,1565,Scotland,38,18,18,3,1,2,6,1,5,0,0,12,7,5,44,19,25,7,0,0.26,0.18,0.09,0.06,0.12,1024,1.29,70,81,439,512,0.21,176,81,-1,7
Andros Townsend,28,679647600,Premier League,2018/2019,Midfielder,Crystal Palace,3018,1571,1447,England,38,18,16,6,2,4,4,2,2,0,0,12,7,5,44,20,24,1,0,0.3,0.12,0.18,0.11,0.25,503,1.31,69,79,3018,755,0.03,105,131,-1,3
Luka Milivojević,29,671011200,Premier League,2018/2019,Midfielder,Crystal Palace,3420,1710,1710,Serbia,38,19,19,12,7,5,2,0,2,10,1,12,7,5,47,20,27,10,0,0.37,0.05,0.32,0.37,0.26,285,1.24,73,90,342,1710,0.26,57,210,-1,1
Christian Benteke,29,660211200,Premier League,2018/2019,Forward,Crystal Palace,813,526,287,Belgium,16,6,3,1,0,1,1,0,1,0,0,5,3,2,10,6,4,1,0,0.22,0.11,0.11,0,0.31,813,1.11,81,51,813,813,0.11,148,132,-1,10
Wilfried Zaha,27,721382400,Premier League,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,Côte d'Ivoire,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,62,89,-1,2
Alexander Sørloth,24,818150400,Premier League,2018/2019,Forward,Crystal Palace,173,121,52,Norway,12,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0.52,173,14,0,0,0,-1,-1,-1,17
Cheikhou Kouyaté,30,630230400,Premier League,2018/2019,Midfielder,Crystal Palace,1897,865,1032,Senegal,31,9,12,0,0,0,2,1,1,0,0,11,6,5,24,7,17,3,0,0.09,0.09,0,0,0,0,1.14,79,61,632,949,0.14,323,157,-1,20
Pape N'Diaye Souaré,29,644655600,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Senegal,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel Ward,30,625647600,Premier League,2018/2019,Defender,Crystal Palace,551,191,360,England,7,2,4,1,1,0,0,0,0,0,0,0,0,0,12,6,6,1,0,0.16,0,0.16,0.47,0,551,1.96,46,79,551,0,0.16,114,417,159,11
Vicente Guaita,33,537264000,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,1035,720,Spain,20,12,8,0,0,0,0,0,0,0,0,7,5,2,21,12,9,2,0,0,0,0,0,0,0,1.08,84,88,878,0,0.1,325,415,42,19
Martin Kelly,30,641199600,Premier League,2018/2019,Defender,Crystal Palace,1110,660,450,England,13,7,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0,0,0,0,0,0,1.46,62,85,555,0,0.16,326,413,110,18
Jaïro Riedewald,23,842252400,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Hamer,32,564393600,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,283,270,England,7,4,3,0,0,0,0,0,0,0,0,1,1,0,20,9,11,0,0,0,0,0,0,0,0,3.25,28,79,0,0,0,327,412,175,14
Mathias Jattah-Njie Jørgensen,30,640854000,Premier League,2018/2019,Defender,Huddersfield Town,2148,1248,900,Denmark,24,14,10,3,1,2,1,0,1,0,0,3,2,1,37,21,16,6,0,0.17,0.04,0.13,0.07,0.2,716,1.55,58,90,358,2148,0.25,135,223,125,1
Chris Löwe,31,608713200,Premier League,2018/2019,Defender,Huddersfield Town,2057,933,1124,Germany,29,11,12,0,0,0,2,1,1,0,0,1,1,0,52,19,33,2,0,0.09,0.09,0,0,0,0,2.28,40,71,1029,1029,0.09,328,161,169,30
Christopher Schindler,29,641372400,Premier League,2018/2019,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0,0.03,0,0.06,3262,1.9,47,88,544,0,0.17,252,399,157,9
Terence Kongolo,26,761212800,Premier League,2018/2019,Defender,Huddersfield Town,2722,1405,1317,Netherlands,32,17,15,1,0,1,1,0,1,0,0,4,3,1,62,27,35,4,0,0.07,0.03,0.03,0,0.07,2722,2.05,44,85,681,2722,0.13,261,241,166,10
Florent Hadergjonaj,25,775638000,Premier League,2018/2019,Defender,Huddersfield Town,1840,1011,829,Switzerland,24,11,8,0,0,0,0,0,0,0,0,4,2,2,34,15,19,1,0,0,0,0,0,0,0,1.66,54,77,1840,0,0.05,329,404,135,29
Jonathan Hogg,31,597398400,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,1294,1083,England,29,16,13,0,0,0,1,1,0,0,0,5,3,2,42,23,19,9,1,0.04,0.04,0,0,0,0,1.59,57,82,238,2377,0.38,330,219,-1,28
Aaron Mooy,29,653382000,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,13,12,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,144,217,-1,2
Alex Pritchard,26,736412400,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,13,13,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,181,403,-1,5
Philip Billing,23,834476400,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,1106,1086,Denmark,27,13,12,2,1,1,0,0,0,0,0,5,3,2,41,17,24,7,0,0.08,0,0.08,0.08,0.08,1096,1.68,53,81,313,0,0.29,186,374,-1,4
Steve Mounié,25,780822000,Premier League,2018/2019,Forward,Huddersfield Town,1777,1009,768,Benin,31,12,7,2,2,0,3,1,2,0,0,5,3,2,34,15,19,2,1,0.25,0.15,0.1,0.18,0,889,1.72,52,57,592,592,0.15,165,94,-1,6
Laurent Depoitre,31,597484800,Premier League,2018/2019,Forward,Huddersfield Town,1059,446,613,Belgium,23,3,7,0,0,0,1,0,1,0,0,3,2,1,22,6,16,1,0,0.08,0.08,0,0,0,0,1.87,48,46,1059,1059,0.08,331,174,-1,27
Adama Diakhaby,23,836550000,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,4,2,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0,0,0,0,0,0,2.61,34,46,551,0,0.16,332,348,-1,26
Jonas Lössl,31,602323200,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,1427,1350,Denmark,31,15,15,0,0,0,1,1,0,0,0,5,3,2,52,22,30,1,0,0.03,0.03,0,0,0,0,1.69,53,90,2777,2777,0.03,333,236,139,25
Tom Smith,28,703234800,Premier League,2018/2019,Defender,Huddersfield Town,1141,431,710,England,15,4,9,0,0,0,0,0,0,0,0,1,0,1,34,12,22,3,1,0,0,0,0,0,0,2.68,34,76,285,0,0.32,334,346,173,24
Ramadan Sobhi,23,854006400,Premier League,2018/2019,Forward,Huddersfield Town,75,30,45,Egypt,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.2,75,19,0,0,0,-1,-1,-1,20
Rajiv van La Parra,28,676018800,Premier League,2018/2019,Midfielder,Huddersfield Town,407,168,239,Netherlands,5,2,3,0,0,0,0,0,0,0,0,1,1,0,6,1,5,0,0,0,0,0,0,0,0,1.33,68,81,0,0,0,335,345,-1,23
Jon Gorenc Stankovič,24,821606400,Premier League,2018/2019,Defender,Huddersfield Town,718,218,500,Slovenia,11,3,6,1,0,1,0,0,0,0,0,2,1,1,19,3,16,2,0,0.13,0,0.13,0,0.18,718,2.38,38,65,359,0,0.25,136,343,171,8
Kepa Arrizabalaga,25,781167600,Premier League,2018/2019,Goalkeeper,Chelsea,3240,1620,1620,Spain,36,18,18,0,0,0,0,0,0,0,0,14,9,5,38,12,26,2,0,0,0,0,0,0,0,1.06,85,90,1620,0,0.06,364,342,38,24
David Luiz,33,546073200,Premier League,2018/2019,Defender,Chelsea,3239,1709,1530,Brazil,36,19,17,3,3,0,2,1,1,0,0,16,10,6,35,12,23,3,0,0.14,0.06,0.08,0.16,0,1080,0.97,93,90,1080,1620,0.08,183,198,27,9
Cesar Azpilicueta,30,620290800,Premier League,2018/2019,Defender,Chelsea,3403,1693,1710,Spain,38,19,19,1,0,1,5,3,2,0,0,16,10,6,38,12,26,4,0,0.16,0.13,0.03,0,0.05,3403,1,90,90,851,681,0.11,260,110,33,14
Marcos Alonso,29,662371200,Premier League,2018/2019,Defender,Chelsea,2761,1338,1423,Spain,31,15,16,2,1,1,4,3,1,0,0,14,8,6,28,9,19,6,0,0.2,0.13,0.07,0.07,0.06,1381,0.91,99,89,460,690,0.2,202,108,22,10
Antonio Rüdiger,27,731145600,Premier League,2018/2019,Defender,Chelsea,2874,1350,1524,Germany,33,15,18,1,1,0,0,0,0,0,0,12,7,5,34,10,24,7,0,0.03,0,0.03,0.07,0,2874,1.06,85,87,411,0,0.22,259,341,39,13
Ross Barkley,26,755078400,Premier League,2018/2019,Midfielder,Chelsea,1241,432,809,England,27,4,9,3,1,2,5,2,3,0,0,11,5,6,13,5,8,1,0,0.58,0.36,0.22,0.21,0.22,414,0.94,95,46,1241,248,0.07,88,12,-1,7
Jorginho,28,693216000,Premier League,2018/2019,Midfielder,Chelsea,3165,1621,1544,Italy,37,19,18,2,0,2,0,0,0,1,0,16,10,6,36,12,24,8,0,0.06,0,0.06,0,0.12,1583,1.02,88,86,396,0,0.23,209,336,-1,11
N'Golo Kanté,29,670233600,Premier League,2018/2019,Midfielder,Chelsea,3096,1579,1517,France,36,19,17,4,2,2,4,3,1,0,0,15,10,5,37,12,25,3,0,0.23,0.12,0.12,0.11,0.12,774,1.08,84,86,1032,774,0.09,140,121,-1,6
Willian,31,587113200,Premier League,2018/2019,Forward,Chelsea,2108,833,1275,Brazil,32,11,15,3,2,1,6,3,3,0,0,13,7,6,23,6,17,2,0,0.38,0.26,0.13,0.22,0.07,703,0.98,92,66,1054,351,0.09,129,33,-1,8
Pedro Rodriguez,32,554454000,Premier League,2018/2019,Midfielder,Chelsea,1780,958,822,Spain,31,10,11,8,6,2,2,2,0,0,0,11,7,4,18,7,11,2,0,0.51,0.1,0.4,0.56,0.22,223,0.91,99,57,890,890,0.1,33,146,-1,2
Alvaro Morata,27,719823600,Premier League,2018/2019,Forward,Chelsea,943,530,413,Spain,16,6,5,5,3,2,0,0,0,0,0,9,4,5,11,6,5,3,0,0.48,0,0.48,0.51,0.44,189,1.05,86,59,314,0,0.29,19,335,-1,4
Ruben Loftus-Cheek,24,822384000,Premier League,2018/2019,Midfielder,Chelsea,983,507,476,England,24,3,3,6,3,3,2,2,0,0,0,12,9,3,8,2,6,0,0,0.73,0.18,0.55,0.53,0.57,164,0.73,123,41,0,492,0,13,78,-1,3
Eden Hazard,29,663235200,Premier League,2018/2019,Midfielder,Chelsea,2926,1527,1399,Belgium,37,17,15,16,11,5,15,10,5,4,0,15,10,5,34,9,25,2,0,0.95,0.46,0.49,0.65,0.32,183,1.05,86,79,1463,195,0.06,18,5,-1,1
Victor Moses,29,660988800,Premier League,2018/2019,Midfielder,Chelsea,26,17,9,Nigeria,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3.46,26,13,0,0,0,-1,-1,-1,23
Wilfredo Daniel Caballero,38,370508400,Premier League,2018/2019,Goalkeeper,Chelsea,180,90,90,Argentina,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,19
Olivier Giroud,33,528447600,Premier League,2018/2019,Forward,Chelsea,832,446,386,France,27,4,3,2,1,1,4,3,1,0,0,12,7,5,4,1,3,1,0,0.65,0.43,0.22,0.2,0.23,416,0.43,208,31,832,208,0.11,87,7,-1,12
Davide Zappacosta,27,708246000,Premier League,2018/2019,Defender,Chelsea,125,35,90,Italy,4,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,-1,-1,-1,22
Andreas Christensen,24,829119600,Premier League,2018/2019,Defender,Chelsea,615,360,255,Denmark,8,4,2,0,0,0,0,0,0,0,0,3,3,0,7,2,5,1,0,0,0,0,0,0,0,1.02,88,77,615,0,0.15,338,334,34,21
Ben Foster,37,418204800,Premier League,2018/2019,Goalkeeper,Watford,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0,0,0,0,0,0,1.5,60,90,3420,0,0.03,365,333,117,18
José Holebas,35,457167600,Premier League,2018/2019,Defender,Watford,2394,1224,1170,Greece,28,14,13,3,2,1,6,5,1,0,0,5,3,2,38,20,18,13,1,0.34,0.23,0.11,0.15,0.08,798,1.43,63,86,171,399,0.53,151,48,105,7
Craig Cathcart,31,602755200,Premier League,2018/2019,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,17,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,177,332,119,6
Christian Kabasele,29,667382400,Premier League,2018/2019,Defender,Watford,1587,957,630,Belgium,21,12,7,0,0,0,0,0,0,0,0,4,3,1,25,15,10,4,1,0,0,0,0,0,0,1.42,63,76,397,0,0.23,393,331,101,24
Daryl Janmaat,30,617094000,Premier League,2018/2019,Defender,Watford,1521,836,685,Netherlands,18,9,8,0,0,0,2,2,0,0,0,3,2,1,22,8,14,3,0,0.12,0.12,0,0,0,0,1.3,69,85,507,761,0.18,395,127,84,23
Etienne Capoue,31,584607600,Premier League,2018/2019,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0,0.06,2947,1.44,63,89,184,982,0.49,253,159,-1,9
Roberto Maximiliano Pereyra,29,663235200,Premier League,2018/2019,Forward,Watford,2825,1467,1358,Argentina,33,17,16,6,5,1,1,0,1,0,0,5,3,2,52,27,25,3,0,0.22,0.03,0.19,0.31,0.07,471,1.66,54,86,942,2825,0.1,100,253,-1,4
Abdoulaye Doucouré,27,725875200,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,17,17,5,3,2,6,2,4,0,0,5,3,2,54,27,27,7,0,0.32,0.18,0.15,0.17,0.12,612,1.59,57,87,437,510,0.21,123,72,-1,5
Will Hughes,25,798102000,Premier League,2018/2019,Midfielder,Watford,2436,1251,1185,England,32,16,15,2,1,1,4,2,2,0,0,5,3,2,39,19,20,5,0,0.22,0.15,0.07,0.07,0.08,1218,1.44,62,76,487,609,0.18,199,92,-1,8
Troy Deeney,31,583570800,Premier League,2018/2019,Forward,Watford,2548,1298,1250,England,32,15,13,9,3,6,5,1,4,1,0,5,3,2,43,23,20,5,1,0.49,0.18,0.32,0.21,0.43,283,1.52,59,80,425,510,0.21,54,74,-1,2
Andre Gray,28,677919600,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,8,5,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
Isaac Ajayi Success,24,821001600,Premier League,2018/2019,Forward,Watford,1037,461,576,Nigeria,30,3,6,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0,1037,1.74,52,35,259,1037,0.35,173,167,-1,10
Ken Sema,26,749372400,Premier League,2018/2019,Midfielder,Watford,755,301,454,Sweden,17,4,5,1,0,1,2,1,1,0,0,6,4,2,8,3,5,1,0,0.36,0.24,0.12,0,0.2,755,0.95,94,44,755,378,0.12,143,42,-1,14
Francisco Femenía Far,29,665481600,Premier League,2018/2019,Midfielder,Watford,2045,1011,1034,Spain,29,11,11,1,1,0,1,1,0,0,0,5,3,2,38,21,17,1,0,0.09,0.04,0.04,0.09,0,2045,1.67,54,71,2045,2045,0.04,238,224,-1,12
Heurelho da Silva Gomes,39,351072000,Premier League,2018/2019,Goalkeeper,Watford,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sebastian Prödl,32,551257200,Premier League,2018/2019,Defender,Watford,13,0,13,Austria,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,22
Adrian Mariappa,33,528706800,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,8,12,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0,0,0,0,0,0,1.36,66,74,640,0,0.14,396,340,93,21
Adam Masina,26,757497600,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,5,6,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0,0,0,0,1.7,53,72,201,1003,0.45,397,164,141,20
Mathew Ryan,28,702716400,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,351,122,15
Bruno Saltor Grau,39,339231600,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,534,602,Spain,14,6,8,0,0,0,1,1,0,0,0,4,2,2,17,8,9,2,0,0.08,0.08,0,0,0,0,1.35,67,81,568,1136,0.16,399,168,91,19
Shane Duffy,28,694252800,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,1558,1530,Republic of Ireland,35,18,17,5,2,3,1,1,0,0,0,7,5,2,51,23,28,5,1,0.17,0.03,0.15,0.12,0.18,618,1.49,61,88,515,3088,0.17,121,250,115,2
Lewis Dunk,28,690710400,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,1550,1603,England,36,18,18,2,0,2,1,0,1,0,0,7,5,2,53,24,29,7,1,0.09,0.03,0.06,0,0.11,1577,1.51,59,88,450,3153,0.2,204,251,120,5
Bernardo,24,800434800,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,990,760,Brazil,22,11,8,0,0,0,1,1,0,0,0,4,2,2,28,17,11,4,0,0.05,0.05,0,0,0,0,1.44,63,80,438,1750,0.21,400,209,108,20
Dale Stephens,30,613638000,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,15,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0,0.07,2487,1.56,58,83,311,2487,0.29,234,234,-1,9
Pascal Groß,28,676969200,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,Germany,25,13,11,3,2,1,3,1,2,1,1,3,2,1,31,16,15,1,0,0.29,0.14,0.14,0.18,0.1,626,1.49,61,75,1878,626,0.05,126,103,-1,4
